"Metric","Chemotherapy.only","Blinatumomab.and.chemotherapy","Incremental","discount","scenario","WTP","prop"
"Costs","356639.38 (309966.06, 407358.85)","399444.22 (358363.47, 457322.89)","42804.84 (21473.47, 65764.28)","discounted","base_case",50000,0.8559670781893
"QALYs","32.64 (30.72, 34.49)","34.07 (32.18, 35.71)","1.43 (0.74, 2.30)","discounted","base_case",50000,0.8559670781893
"ICER","","","29837.96","discounted","base_case",50000,0.8559670781893
"Costs","407519.22 (351209.33, 482038.53)","450144.34 (392419.06, 530927.00)","42625.12 (19088.92, 71031.68)","undiscounted","base_case",50000,0.971134020618557
"QALYs","52.73 (49.43, 56.01)","55.17 (51.84, 58.07)","2.44 (1.21, 3.92)","undiscounted","base_case",50000,0.971134020618557
"ICER","","","17489.23","undiscounted","base_case",50000,0.971134020618557
"Costs","354708.21 (308325.17, 405288.56)","390193.56 (349016.37, 447200.32)","35485.34 (14355.11, 57993.55)","discounted","blina_cost_low",50000,0.915637860082305
"QALYs","32.64 (30.72, 34.49)","34.07 (32.18, 35.71)","1.43 (0.74, 2.30)","discounted","blina_cost_low",50000,0.915637860082305
"ICER","","","24735.76","discounted","blina_cost_low",50000,0.915637860082305
"Costs","358570.49 (311436.83, 409779.31)","408693.97 (366916.49, 467601.70)","50123.48 (28406.33, 73294.21)","discounted","blina_cost_high",50000,0.777777777777778
"QALYs","32.63 (30.72, 34.49)","34.07 (32.18, 35.71)","1.43 (0.74, 2.30)","discounted","blina_cost_high",50000,0.777777777777778
"ICER","","","34942.24","discounted","blina_cost_high",50000,0.777777777777778
"Costs","356833.08 (310122.33, 407545.89)","400554.08 (359376.91, 458499.99)","43720.99 (22314.27, 66598.09)","discounted","ivig",50000,0.849794238683128
"QALYs","32.64 (30.72, 34.49)","34.07 (32.18, 35.71)","1.43 (0.74, 2.30)","discounted","ivig",50000,0.849794238683128
"ICER","","","30476.21","discounted","ivig",50000,0.849794238683128
