"WTP","Strategy","Proportion","On_Frontier","discount","scenario"
0,"Blinatumomab and chemotherapy",0,FALSE,"discounted","base_case"
0,"Chemotherapy only",1,TRUE,"discounted","base_case"
5000,"Blinatumomab and chemotherapy",0.00205761316872428,FALSE,"discounted","base_case"
5000,"Chemotherapy only",0.997942386831276,TRUE,"discounted","base_case"
10000,"Blinatumomab and chemotherapy",0.0185185185185185,FALSE,"discounted","base_case"
10000,"Chemotherapy only",0.981481481481482,TRUE,"discounted","base_case"
15000,"Blinatumomab and chemotherapy",0.0637860082304527,FALSE,"discounted","base_case"
15000,"Chemotherapy only",0.936213991769547,TRUE,"discounted","base_case"
20000,"Blinatumomab and chemotherapy",0.183127572016461,FALSE,"discounted","base_case"
20000,"Chemotherapy only",0.816872427983539,TRUE,"discounted","base_case"
25000,"Blinatumomab and chemotherapy",0.325102880658436,FALSE,"discounted","base_case"
25000,"Chemotherapy only",0.674897119341564,TRUE,"discounted","base_case"
30000,"Blinatumomab and chemotherapy",0.469135802469136,FALSE,"discounted","base_case"
30000,"Chemotherapy only",0.530864197530864,TRUE,"discounted","base_case"
35000,"Blinatumomab and chemotherapy",0.602880658436214,TRUE,"discounted","base_case"
35000,"Chemotherapy only",0.397119341563786,FALSE,"discounted","base_case"
40000,"Blinatumomab and chemotherapy",0.707818930041152,TRUE,"discounted","base_case"
40000,"Chemotherapy only",0.292181069958848,FALSE,"discounted","base_case"
45000,"Blinatumomab and chemotherapy",0.800411522633745,TRUE,"discounted","base_case"
45000,"Chemotherapy only",0.199588477366255,FALSE,"discounted","base_case"
50000,"Blinatumomab and chemotherapy",0.858024691358025,TRUE,"discounted","base_case"
50000,"Chemotherapy only",0.141975308641975,FALSE,"discounted","base_case"
55000,"Blinatumomab and chemotherapy",0.893004115226337,TRUE,"discounted","base_case"
55000,"Chemotherapy only",0.106995884773663,FALSE,"discounted","base_case"
60000,"Blinatumomab and chemotherapy",0.917695473251029,TRUE,"discounted","base_case"
60000,"Chemotherapy only",0.0823045267489712,FALSE,"discounted","base_case"
65000,"Blinatumomab and chemotherapy",0.932098765432099,TRUE,"discounted","base_case"
65000,"Chemotherapy only",0.0679012345679012,FALSE,"discounted","base_case"
70000,"Blinatumomab and chemotherapy",0.95679012345679,TRUE,"discounted","base_case"
70000,"Chemotherapy only",0.0432098765432099,FALSE,"discounted","base_case"
75000,"Blinatumomab and chemotherapy",0.969135802469136,TRUE,"discounted","base_case"
75000,"Chemotherapy only",0.0308641975308642,FALSE,"discounted","base_case"
80000,"Blinatumomab and chemotherapy",0.979423868312757,TRUE,"discounted","base_case"
80000,"Chemotherapy only",0.0205761316872428,FALSE,"discounted","base_case"
85000,"Blinatumomab and chemotherapy",0.983539094650206,TRUE,"discounted","base_case"
85000,"Chemotherapy only",0.0164609053497942,FALSE,"discounted","base_case"
90000,"Blinatumomab and chemotherapy",0.983539094650206,TRUE,"discounted","base_case"
90000,"Chemotherapy only",0.0164609053497942,FALSE,"discounted","base_case"
95000,"Blinatumomab and chemotherapy",0.98559670781893,TRUE,"discounted","base_case"
95000,"Chemotherapy only",0.01440329218107,FALSE,"discounted","base_case"
100000,"Blinatumomab and chemotherapy",0.987654320987654,TRUE,"discounted","base_case"
100000,"Chemotherapy only",0.0123456790123457,FALSE,"discounted","base_case"
105000,"Blinatumomab and chemotherapy",0.989711934156379,TRUE,"discounted","base_case"
105000,"Chemotherapy only",0.0102880658436214,FALSE,"discounted","base_case"
110000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","base_case"
110000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","base_case"
115000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","base_case"
115000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","base_case"
120000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","base_case"
120000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","base_case"
125000,"Blinatumomab and chemotherapy",0.993827160493827,TRUE,"discounted","base_case"
125000,"Chemotherapy only",0.00617283950617284,FALSE,"discounted","base_case"
130000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
130000,"Chemotherapy only",0,FALSE,"discounted","base_case"
135000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
135000,"Chemotherapy only",0,FALSE,"discounted","base_case"
140000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
140000,"Chemotherapy only",0,FALSE,"discounted","base_case"
145000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
145000,"Chemotherapy only",0,FALSE,"discounted","base_case"
150000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
150000,"Chemotherapy only",0,FALSE,"discounted","base_case"
155000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
155000,"Chemotherapy only",0,FALSE,"discounted","base_case"
160000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
160000,"Chemotherapy only",0,FALSE,"discounted","base_case"
165000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
165000,"Chemotherapy only",0,FALSE,"discounted","base_case"
170000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
170000,"Chemotherapy only",0,FALSE,"discounted","base_case"
175000,"Blinatumomab and chemotherapy",1,TRUE,"discounted","base_case"
175000,"Chemotherapy only",0,FALSE,"discounted","base_case"
