"WTP","Strategy","Proportion","On_Frontier","discount","scenario"
0,"Blinatumomab and chemotherapy",0,FALSE,"discounted","base_case"
0,"Chemotherapy only",1,TRUE,"discounted","base_case"
5000,"Blinatumomab and chemotherapy",0.00823045267489712,FALSE,"discounted","base_case"
5000,"Chemotherapy only",0.991769547325103,TRUE,"discounted","base_case"
10000,"Blinatumomab and chemotherapy",0.0308641975308642,FALSE,"discounted","base_case"
10000,"Chemotherapy only",0.969135802469136,TRUE,"discounted","base_case"
15000,"Blinatumomab and chemotherapy",0.0761316872427984,FALSE,"discounted","base_case"
15000,"Chemotherapy only",0.923868312757202,TRUE,"discounted","base_case"
20000,"Blinatumomab and chemotherapy",0.174897119341564,FALSE,"discounted","base_case"
20000,"Chemotherapy only",0.825102880658436,TRUE,"discounted","base_case"
25000,"Blinatumomab and chemotherapy",0.331275720164609,FALSE,"discounted","base_case"
25000,"Chemotherapy only",0.668724279835391,TRUE,"discounted","base_case"
30000,"Blinatumomab and chemotherapy",0.483539094650206,FALSE,"discounted","base_case"
30000,"Chemotherapy only",0.516460905349794,TRUE,"discounted","base_case"
35000,"Blinatumomab and chemotherapy",0.602880658436214,TRUE,"discounted","base_case"
35000,"Chemotherapy only",0.397119341563786,FALSE,"discounted","base_case"
40000,"Blinatumomab and chemotherapy",0.718106995884774,TRUE,"discounted","base_case"
40000,"Chemotherapy only",0.281893004115226,FALSE,"discounted","base_case"
45000,"Blinatumomab and chemotherapy",0.790123456790123,TRUE,"discounted","base_case"
45000,"Chemotherapy only",0.209876543209877,FALSE,"discounted","base_case"
50000,"Blinatumomab and chemotherapy",0.851851851851852,TRUE,"discounted","base_case"
50000,"Chemotherapy only",0.148148148148148,FALSE,"discounted","base_case"
55000,"Blinatumomab and chemotherapy",0.895061728395062,TRUE,"discounted","base_case"
55000,"Chemotherapy only",0.104938271604938,FALSE,"discounted","base_case"
60000,"Blinatumomab and chemotherapy",0.925925925925926,TRUE,"discounted","base_case"
60000,"Chemotherapy only",0.0740740740740741,FALSE,"discounted","base_case"
65000,"Blinatumomab and chemotherapy",0.94238683127572,TRUE,"discounted","base_case"
65000,"Chemotherapy only",0.0576131687242798,FALSE,"discounted","base_case"
70000,"Blinatumomab and chemotherapy",0.948559670781893,TRUE,"discounted","base_case"
70000,"Chemotherapy only",0.051440329218107,FALSE,"discounted","base_case"
75000,"Blinatumomab and chemotherapy",0.958847736625514,TRUE,"discounted","base_case"
75000,"Chemotherapy only",0.0411522633744856,FALSE,"discounted","base_case"
80000,"Blinatumomab and chemotherapy",0.969135802469136,TRUE,"discounted","base_case"
80000,"Chemotherapy only",0.0308641975308642,FALSE,"discounted","base_case"
85000,"Blinatumomab and chemotherapy",0.973251028806584,TRUE,"discounted","base_case"
85000,"Chemotherapy only",0.0267489711934156,FALSE,"discounted","base_case"
90000,"Blinatumomab and chemotherapy",0.975308641975309,TRUE,"discounted","base_case"
90000,"Chemotherapy only",0.0246913580246914,FALSE,"discounted","base_case"
95000,"Blinatumomab and chemotherapy",0.977366255144033,TRUE,"discounted","base_case"
95000,"Chemotherapy only",0.0226337448559671,FALSE,"discounted","base_case"
100000,"Blinatumomab and chemotherapy",0.981481481481482,TRUE,"discounted","base_case"
100000,"Chemotherapy only",0.0185185185185185,FALSE,"discounted","base_case"
105000,"Blinatumomab and chemotherapy",0.981481481481482,TRUE,"discounted","base_case"
105000,"Chemotherapy only",0.0185185185185185,FALSE,"discounted","base_case"
110000,"Blinatumomab and chemotherapy",0.98559670781893,TRUE,"discounted","base_case"
110000,"Chemotherapy only",0.01440329218107,FALSE,"discounted","base_case"
115000,"Blinatumomab and chemotherapy",0.98559670781893,TRUE,"discounted","base_case"
115000,"Chemotherapy only",0.01440329218107,FALSE,"discounted","base_case"
120000,"Blinatumomab and chemotherapy",0.987654320987654,TRUE,"discounted","base_case"
120000,"Chemotherapy only",0.0123456790123457,FALSE,"discounted","base_case"
125000,"Blinatumomab and chemotherapy",0.987654320987654,TRUE,"discounted","base_case"
125000,"Chemotherapy only",0.0123456790123457,FALSE,"discounted","base_case"
130000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","base_case"
130000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","base_case"
135000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","base_case"
135000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","base_case"
140000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","base_case"
140000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","base_case"
145000,"Blinatumomab and chemotherapy",0.991769547325103,TRUE,"discounted","base_case"
145000,"Chemotherapy only",0.00823045267489712,FALSE,"discounted","base_case"
150000,"Blinatumomab and chemotherapy",0.993827160493827,TRUE,"discounted","base_case"
150000,"Chemotherapy only",0.00617283950617284,FALSE,"discounted","base_case"
155000,"Blinatumomab and chemotherapy",0.993827160493827,TRUE,"discounted","base_case"
155000,"Chemotherapy only",0.00617283950617284,FALSE,"discounted","base_case"
160000,"Blinatumomab and chemotherapy",0.993827160493827,TRUE,"discounted","base_case"
160000,"Chemotherapy only",0.00617283950617284,FALSE,"discounted","base_case"
165000,"Blinatumomab and chemotherapy",0.995884773662551,TRUE,"discounted","base_case"
165000,"Chemotherapy only",0.00411522633744856,FALSE,"discounted","base_case"
170000,"Blinatumomab and chemotherapy",0.995884773662551,TRUE,"discounted","base_case"
